q0000
q1100, q1111
(q0000,,,q0001)
(q0001,i,a11,q0010)
(q0010,d,a00,q0011)
(q0010,d,a01,q1111)
(q0010,d,a10,q1111)
(q0010,d,a11,q1111)
(q0011,d,a00,q0100)
(q0011,d,a01,q0101)
(q0011,d,a10,q1111)
(q0011,d,a11,q1111)
(q0100,i,a00,q0011)
(q0101,i,a01,q0110)
(q0110,d,a01,q0101)
(q0110,d,a10,q0111)
(q0110,d,a00,q1111)
(q0110,d,a11,q1111)
(q0111,d,a10,q1000)
(q0111,d,a11,q1001)
(q0111,d,a00,q1111)
(q0111,d,a01,q1111)
(q1000,i,a10,q0111)
(q1001,i,a11,q1010)
(q1010,d,a00,q0011)
(q1010,d,a01,q1011)
(q1010,d,a11,q1100)
(q1010,d,a10,q1111)
(q1011,d,a10,q0111)
(q1011,d,a01,q0101)
(q1011,d,a00,q1111)
(q1011,d,a11,q1111)
